index,Match No,Date,Man of the match,Venue,Home Team,Away Team,Toss Winner,Toss Decision,Winner,Result,Result Margin,Super Over,Umpire 1,Umpire 2,Loser,season
0,1,2008-04-18,BB McCullum,M Chinnaswamy Stadium,Royal Challengers Bangalore,Kolkata Knight Riders,Royal Challengers Bangalore,field,Kolkata Knight Riders,runs,140.0,N,Asad Rauf,RE Koertzen,Royal Challengers Bangalore,2008
1,2,2008-04-19,MEK Hussey,"Punjab Cricket Association Stadium, Mohali",Kings XI Punjab,Chennai Super Kings,Chennai Super Kings,bat,Chennai Super Kings,runs,33.0,N,MR Benson,SL Shastri,Kings XI Punjab,2008
2,3,2008-04-19,MF Maharoof,Feroz Shah Kotla,Delhi Daredevils,Rajasthan Royals,Rajasthan Royals,bat,Delhi Daredevils,wickets,9.0,N,Aleem Dar,GA Pratapkumar,Rajasthan Royals,2008
3,4,2008-04-20,MV Boucher,Wankhede Stadium,Mumbai Indians,Royal Challengers Bangalore,Mumbai Indians,bat,Royal Challengers Bangalore,wickets,5.0,N,SJ Davis,DJ Harper,Mumbai Indians,2008
4,5,2008-04-20,DJ Hussey,Eden Gardens,Kolkata Knight Riders,Deccan Chargers,Deccan Chargers,bat,Kolkata Knight Riders,wickets,5.0,N,BF Bowden,K Hariharan,Deccan Chargers,2008
5,6,2008-04-21,SR Watson,Sawai Mansingh Stadium,Rajasthan Royals,Kings XI Punjab,Kings XI Punjab,bat,Rajasthan Royals,wickets,6.0,N,Aleem Dar,RB Tiffin,Kings XI Punjab,2008
6,7,2008-04-22,V Sehwag,"Rajiv Gandhi International Stadium, Uppal",Deccan Chargers,Delhi Daredevils,Deccan Chargers,bat,Delhi Daredevils,wickets,9.0,N,IL Howell,AM Saheba,Deccan Chargers,2008
7,8,2008-04-23,ML Hayden,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,Mumbai Indians,Mumbai Indians,field,Chennai Super Kings,runs,6.0,N,DJ Harper,GA Pratapkumar,Mumbai Indians,2008
8,9,2008-04-24,YK Pathan,"Rajiv Gandhi International Stadium, Uppal",Deccan Chargers,Rajasthan Royals,Rajasthan Royals,field,Rajasthan Royals,wickets,3.0,N,Asad Rauf,MR Benson,Deccan Chargers,2008
9,10,2008-04-25,KC Sangakkara,"Punjab Cricket Association Stadium, Mohali",Kings XI Punjab,Mumbai Indians,Mumbai Indians,field,Kings XI Punjab,runs,66.0,N,Aleem Dar,AM Saheba,Mumbai Indians,2008
10,11,2008-04-26,SR Watson,M Chinnaswamy Stadium,Royal Challengers Bangalore,Rajasthan Royals,Rajasthan Royals,field,Rajasthan Royals,wickets,7.0,N,MR Benson,IL Howell,Royal Challengers Bangalore,2008
11,12,2008-04-26,JDP Oram,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,Kolkata Knight Riders,Kolkata Knight Riders,bat,Chennai Super Kings,wickets,9.0,N,BF Bowden,AV Jayaprakash,Kolkata Knight Riders,2008
12,13,2008-04-27,AC Gilchrist,Dr DY Patil Sports Academy,Mumbai Indians,Deccan Chargers,Deccan Chargers,field,Deccan Chargers,wickets,10.0,N,Asad Rauf,SL Shastri,Mumbai Indians,2008
13,14,2008-04-27,SM Katich,"Punjab Cricket Association Stadium, Mohali",Kings XI Punjab,Delhi Daredevils,Delhi Daredevils,bat,Kings XI Punjab,wickets,4.0,N,RE Koertzen,I Shivram,Delhi Daredevils,2008
14,15,2008-04-28,MS Dhoni,M Chinnaswamy Stadium,Royal Challengers Bangalore,Chennai Super Kings,Chennai Super Kings,bat,Chennai Super Kings,runs,13.0,N,BR Doctrove,RB Tiffin,Royal Challengers Bangalore,2008
15,16,2008-04-29,ST Jayasuriya,Eden Gardens,Kolkata Knight Riders,Mumbai Indians,Kolkata Knight Riders,bat,Mumbai Indians,wickets,7.0,N,BF Bowden,AV Jayaprakash,Kolkata Knight Riders,2008
16,17,2008-04-30,GD McGrath,Feroz Shah Kotla,Delhi Daredevils,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Delhi Daredevils,runs,10.0,N,Aleem Dar,I Shivram,Royal Challengers Bangalore,2008
17,18,2008-05-01,SE Marsh,"Rajiv Gandhi International Stadium, Uppal",Deccan Chargers,Kings XI Punjab,Kings XI Punjab,field,Kings XI Punjab,wickets,7.0,N,BR Doctrove,RB Tiffin,Deccan Chargers,2008
18,19,2008-05-01,SA Asnodkar,Sawai Mansingh Stadium,Rajasthan Royals,Kolkata Knight Riders,Rajasthan Royals,bat,Rajasthan Royals,runs,45.0,N,RE Koertzen,GA Pratapkumar,Kolkata Knight Riders,2008
19,20,2008-05-02,V Sehwag,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,Delhi Daredevils,Chennai Super Kings,bat,Delhi Daredevils,wickets,8.0,N,BF Bowden,K Hariharan,Chennai Super Kings,2008
20,21,2008-05-25,R Vinay Kumar,"Rajiv Gandhi International Stadium, Uppal",Deccan Chargers,Royal Challengers Bangalore,Deccan Chargers,bat,Royal Challengers Bangalore,wickets,5.0,N,Asad Rauf,RE Koertzen,Deccan Chargers,2008
21,22,2008-05-03,IK Pathan,"Punjab Cricket Association Stadium, Mohali",Kings XI Punjab,Kolkata Knight Riders,Kings XI Punjab,bat,Kings XI Punjab,runs,9.0,N,DJ Harper,I Shivram,Kolkata Knight Riders,2008
22,23,2008-05-04,SM Pollock,Dr DY Patil Sports Academy,Mumbai Indians,Delhi Daredevils,Delhi Daredevils,field,Mumbai Indians,runs,29.0,N,IL Howell,RE Koertzen,Delhi Daredevils,2008
23,24,2008-05-04,Sohail Tanvir,Sawai Mansingh Stadium,Rajasthan Royals,Chennai Super Kings,Chennai Super Kings,bat,Rajasthan Royals,wickets,8.0,N,Asad Rauf,AV Jayaprakash,Chennai Super Kings,2008
24,25,2008-05-05,S Sreesanth,M Chinnaswamy Stadium,Royal Challengers Bangalore,Kings XI Punjab,Kings XI Punjab,field,Kings XI Punjab,wickets,6.0,N,SJ Davis,BR Doctrove,Royal Challengers Bangalore,2008
25,26,2008-05-06,AC Gilchrist,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,Deccan Chargers,Deccan Chargers,field,Deccan Chargers,wickets,7.0,N,MR Benson,RB Tiffin,Chennai Super Kings,2008
26,27,2008-05-07,A Nehra,Dr DY Patil Sports Academy,Mumbai Indians,Rajasthan Royals,Mumbai Indians,field,Mumbai Indians,wickets,7.0,N,DJ Harper,RE Koertzen,Rajasthan Royals,2008
27,28,2008-05-08,MS Dhoni,Feroz Shah Kotla,Delhi Daredevils,Chennai Super Kings,Chennai Super Kings,field,Chennai Super Kings,wickets,4.0,N,Aleem Dar,RB Tiffin,Delhi Daredevils,2008
28,29,2008-05-08,SC Ganguly,Eden Gardens,Kolkata Knight Riders,Royal Challengers Bangalore,Kolkata Knight Riders,bat,Kolkata Knight Riders,runs,5.0,N,Asad Rauf,IL Howell,Royal Challengers Bangalore,2008
29,30,2008-05-09,YK Pathan,Sawai Mansingh Stadium,Rajasthan Royals,Deccan Chargers,Rajasthan Royals,field,Rajasthan Royals,wickets,8.0,N,MR Benson,AM Saheba,Deccan Chargers,2008
30,31,2008-05-28,CRD Fernando,M Chinnaswamy Stadium,Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians,field,Mumbai Indians,wickets,9.0,N,BF Bowden,AV Jayaprakash,Royal Challengers Bangalore,2008
31,32,2008-05-10,L Balaji,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,Kings XI Punjab,Kings XI Punjab,field,Chennai Super Kings,runs,18.0,N,AV Jayaprakash,BG Jerling,Kings XI Punjab,2008
32,33,2008-05-11,SC Ganguly,"Rajiv Gandhi International Stadium, Uppal",Deccan Chargers,Kolkata Knight Riders,Kolkata Knight Riders,bat,Kolkata Knight Riders,runs,23.0,N,IL Howell,AM Saheba,Deccan Chargers,2008
33,34,2008-05-11,SR Watson,Sawai Mansingh Stadium,Rajasthan Royals,Delhi Daredevils,Rajasthan Royals,field,Rajasthan Royals,wickets,3.0,N,SJ Davis,RE Koertzen,Delhi Daredevils,2008
34,35,2008-05-12,SE Marsh,"Punjab Cricket Association Stadium, Mohali",Kings XI Punjab,Royal Challengers Bangalore,Royal Challengers Bangalore,bat,Kings XI Punjab,wickets,9.0,N,BR Doctrove,I Shivram,Royal Challengers Bangalore,2008
35,36,2008-05-13,Shoaib Akhtar,Eden Gardens,Kolkata Knight Riders,Delhi Daredevils,Kolkata Knight Riders,bat,Kolkata Knight Riders,runs,23.0,N,Asad Rauf,IL Howell,Delhi Daredevils,2008
36,37,2008-05-14,ST Jayasuriya,Wankhede Stadium,Mumbai Indians,Chennai Super Kings,Mumbai Indians,field,Mumbai Indians,wickets,9.0,N,BR Doctrove,AM Saheba,Chennai Super Kings,2008
37,38,2008-05-28,SE Marsh,"Punjab Cricket Association Stadium, Mohali",Kings XI Punjab,Rajasthan Royals,Rajasthan Royals,field,Kings XI Punjab,runs,41.0,N,SJ Davis,K Hariharan,Rajasthan Royals,2008
38,39,2008-05-15,A Mishra,Feroz Shah Kotla,Delhi Daredevils,Deccan Chargers,Deccan Chargers,field,Delhi Daredevils,runs,12.0,N,BG Jerling,GA Pratapkumar,Deccan Chargers,2008
39,40,2008-05-16,SM Pollock,Wankhede Stadium,Mumbai Indians,Kolkata Knight Riders,Mumbai Indians,field,Mumbai Indians,wickets,8.0,N,BR Doctrove,DJ Harper,Kolkata Knight Riders,2008
40,41,2008-05-17,DPMD Jayawardene,Feroz Shah Kotla,Delhi Daredevils,Kings XI Punjab,Delhi Daredevils,bat,Kings XI Punjab,runs,6.0,N,AV Jayaprakash,RE Koertzen,Delhi Daredevils,2008
41,42,2008-05-17,GC Smith,Sawai Mansingh Stadium,Rajasthan Royals,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Rajasthan Royals,runs,65.0,N,BF Bowden,SL Shastri,Royal Challengers Bangalore,2008
42,43,2008-05-18,DJ Bravo,"Rajiv Gandhi International Stadium, Uppal",Deccan Chargers,Mumbai Indians,Deccan Chargers,field,Mumbai Indians,runs,25.0,N,BR Doctrove,DJ Harper,Deccan Chargers,2008
43,44,2008-05-18,M Ntini,Eden Gardens,Kolkata Knight Riders,Chennai Super Kings,Kolkata Knight Riders,bat,Chennai Super Kings,runs,3.0,N,Asad Rauf,K Hariharan,Kolkata Knight Riders,2008
44,45,2008-05-19,SP Goswami,M Chinnaswamy Stadium,Royal Challengers Bangalore,Delhi Daredevils,Delhi Daredevils,field,Delhi Daredevils,wickets,5.0,N,SJ Davis,GA Pratapkumar,Royal Challengers Bangalore,2008
45,46,2008-05-20,YK Pathan,Eden Gardens,Kolkata Knight Riders,Rajasthan Royals,Rajasthan Royals,field,Rajasthan Royals,wickets,6.0,N,BG Jerling,RE Koertzen,Kolkata Knight Riders,2008
46,47,2008-05-21,SE Marsh,Wankhede Stadium,Mumbai Indians,Kings XI Punjab,Mumbai Indians,field,Kings XI Punjab,runs,1.0,N,BF Bowden,GA Pratapkumar,Mumbai Indians,2008
47,48,2008-05-21,A Kumble,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,Royal Challengers Bangalore,Royal Challengers Bangalore,bat,Royal Challengers Bangalore,runs,14.0,N,DJ Harper,I Shivram,Chennai Super Kings,2008
48,49,2008-05-23,SE Marsh,"Punjab Cricket Association Stadium, Mohali",Kings XI Punjab,Deccan Chargers,Kings XI Punjab,field,Kings XI Punjab,wickets,6.0,N,Asad Rauf,SJ Davis,Deccan Chargers,2008
49,50,2008-05-24,KD Karthik,Feroz Shah Kotla,Delhi Daredevils,Mumbai Indians,Delhi Daredevils,field,Delhi Daredevils,wickets,5.0,N,BF Bowden,K Hariharan,Mumbai Indians,2008
50,51,2008-05-24,JA Morkel,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,Rajasthan Royals,Rajasthan Royals,bat,Rajasthan Royals,runs,10.0,N,DJ Harper,SL Shastri,Chennai Super Kings,2008
51,52,2008-05-03,P Kumar,M Chinnaswamy Stadium,Royal Challengers Bangalore,Deccan Chargers,Deccan Chargers,field,Royal Challengers Bangalore,runs,3.0,N,BR Doctrove,SL Shastri,Deccan Chargers,2008
52,53,2008-05-25,Umar Gul,Eden Gardens,Kolkata Knight Riders,Kings XI Punjab,Kings XI Punjab,bat,Kolkata Knight Riders,wickets,3.0,N,SJ Davis,I Shivram,Kings XI Punjab,2008
53,54,2008-05-26,Sohail Tanvir,Sawai Mansingh Stadium,Rajasthan Royals,Mumbai Indians,Rajasthan Royals,field,Rajasthan Royals,wickets,5.0,N,BF Bowden,K Hariharan,Mumbai Indians,2008
54,55,2008-05-27,SK Raina,"Rajiv Gandhi International Stadium, Uppal",Deccan Chargers,Chennai Super Kings,Deccan Chargers,bat,Chennai Super Kings,wickets,7.0,N,BG Jerling,AM Saheba,Deccan Chargers,2008
55,56,2008-05-30,SR Watson,Wankhede Stadium,Delhi Daredevils,Rajasthan Royals,Delhi Daredevils,field,Rajasthan Royals,runs,105.0,N,BF Bowden,RE Koertzen,Delhi Daredevils,2008
56,57,2008-05-31,M Ntini,Wankhede Stadium,Chennai Super Kings,Kings XI Punjab,Kings XI Punjab,bat,Chennai Super Kings,wickets,9.0,N,Asad Rauf,DJ Harper,Kings XI Punjab,2008
57,58,2008-06-01,YK Pathan,Dr DY Patil Sports Academy,Chennai Super Kings,Rajasthan Royals,Rajasthan Royals,field,Rajasthan Royals,wickets,3.0,N,BF Bowden,RE Koertzen,Chennai Super Kings,2008
58,59,2009-04-18,SR Tendulkar,Newlands,Chennai Super Kings,Mumbai Indians,Chennai Super Kings,field,Mumbai Indians,runs,19.0,N,BR Doctrove,K Hariharan,Chennai Super Kings,2009
59,60,2009-04-18,R Dravid,Newlands,Royal Challengers Bangalore,Rajasthan Royals,Royal Challengers Bangalore,bat,Royal Challengers Bangalore,runs,75.0,N,BR Doctrove,RB Tiffin,Rajasthan Royals,2009
60,61,2009-04-19,DL Vettori,Newlands,Delhi Daredevils,Kings XI Punjab,Delhi Daredevils,field,Delhi Daredevils,wickets,10.0,N,MR Benson,SD Ranade,Kings XI Punjab,2009
61,62,2009-04-19,RP Singh,Newlands,Deccan Chargers,Kolkata Knight Riders,Kolkata Knight Riders,bat,Deccan Chargers,wickets,8.0,N,MR Benson,BR Doctrove,Kolkata Knight Riders,2009
62,63,2009-04-20,M Muralitharan,St George's Park,Royal Challengers Bangalore,Chennai Super Kings,Chennai Super Kings,bat,Chennai Super Kings,runs,92.0,N,BG Jerling,SJA Taufel,Royal Challengers Bangalore,2009
63,64,2009-04-21,CH Gayle,Kingsmead,Kings XI Punjab,Kolkata Knight Riders,Kolkata Knight Riders,field,Kolkata Knight Riders,runs,11.0,N,DJ Harper,SD Ranade,Kings XI Punjab,2009
64,65,2009-04-22,AC Gilchrist,Newlands,Royal Challengers Bangalore,Deccan Chargers,Deccan Chargers,bat,Deccan Chargers,runs,24.0,N,M Erasmus,AM Saheba,Royal Challengers Bangalore,2009
65,66,2009-04-23,AB de Villiers,Kingsmead,Chennai Super Kings,Delhi Daredevils,Delhi Daredevils,bat,Delhi Daredevils,runs,9.0,N,BR Doctrove,SJA Taufel,Chennai Super Kings,2009
66,67,2009-04-23,YK Pathan,Newlands,Kolkata Knight Riders,Rajasthan Royals,Kolkata Knight Riders,field,Rajasthan Royals,tie,,Y,MR Benson,M Erasmus,Kolkata Knight Riders,2009
67,68,2009-04-24,RS Bopara,Kingsmead,Royal Challengers Bangalore,Kings XI Punjab,Royal Challengers Bangalore,bat,Kings XI Punjab,wickets,7.0,N,BR Doctrove,TH Wijewardene,Royal Challengers Bangalore,2009
68,69,2009-04-25,PP Ojha,Kingsmead,Deccan Chargers,Mumbai Indians,Deccan Chargers,bat,Deccan Chargers,runs,12.0,N,HDPK Dharmasena,SJA Taufel,Mumbai Indians,2009
69,70,2009-04-26,TM Dilshan,St George's Park,Royal Challengers Bangalore,Delhi Daredevils,Royal Challengers Bangalore,bat,Delhi Daredevils,wickets,6.0,N,S Asnani,BG Jerling,Royal Challengers Bangalore,2009
70,71,2009-04-26,KC Sangakkara,Newlands,Kings XI Punjab,Rajasthan Royals,Kings XI Punjab,bat,Kings XI Punjab,runs,27.0,N,M Erasmus,K Hariharan,Rajasthan Royals,2009
71,72,2009-04-27,HH Gibbs,Kingsmead,Chennai Super Kings,Deccan Chargers,Deccan Chargers,field,Deccan Chargers,wickets,6.0,N,IL Howell,TH Wijewardene,Chennai Super Kings,2009
72,73,2009-04-27,SR Tendulkar,St George's Park,Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,bat,Mumbai Indians,runs,92.0,N,BG Jerling,RB Tiffin,Kolkata Knight Riders,2009
73,74,2009-04-28,YK Pathan,SuperSport Park,Delhi Daredevils,Rajasthan Royals,Delhi Daredevils,bat,Rajasthan Royals,wickets,5.0,N,GAV Baxter,RE Koertzen,Delhi Daredevils,2009
74,75,2009-04-29,MV Boucher,Kingsmead,Royal Challengers Bangalore,Kolkata Knight Riders,Kolkata Knight Riders,bat,Royal Challengers Bangalore,wickets,5.0,N,MR Benson,TH Wijewardene,Kolkata Knight Riders,2009
75,76,2009-04-29,KC Sangakkara,Kingsmead,Kings XI Punjab,Mumbai Indians,Kings XI Punjab,bat,Kings XI Punjab,runs,3.0,N,MR Benson,SL Shastri,Mumbai Indians,2009
76,77,2009-04-30,DP Nannes,SuperSport Park,Deccan Chargers,Delhi Daredevils,Delhi Daredevils,field,Delhi Daredevils,wickets,6.0,N,GAV Baxter,AM Saheba,Deccan Chargers,2009
77,78,2009-04-30,SK Raina,SuperSport Park,Chennai Super Kings,Rajasthan Royals,Rajasthan Royals,field,Chennai Super Kings,runs,38.0,N,GAV Baxter,RE Koertzen,Rajasthan Royals,2009
78,79,2009-05-01,JP Duminy,Buffalo Park,Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,bat,Mumbai Indians,runs,9.0,N,M Erasmus,SK Tarapore,Kolkata Knight Riders,2009
79,80,2009-05-01,Yuvraj Singh,Kingsmead,Royal Challengers Bangalore,Kings XI Punjab,Royal Challengers Bangalore,bat,Royal Challengers Bangalore,runs,8.0,N,HDPK Dharmasena,S Ravi,Kings XI Punjab,2009
80,81,2009-05-02,YK Pathan,St George's Park,Deccan Chargers,Rajasthan Royals,Deccan Chargers,bat,Rajasthan Royals,wickets,3.0,N,S Asnani,BG Jerling,Deccan Chargers,2009
81,82,2009-05-02,SB Jakati,New Wanderers Stadium,Chennai Super Kings,Delhi Daredevils,Delhi Daredevils,field,Chennai Super Kings,runs,18.0,N,DJ Harper,RE Koertzen,Delhi Daredevils,2009
82,83,2009-05-03,DPMD Jayawardene,St George's Park,Kings XI Punjab,Kolkata Knight Riders,Kolkata Knight Riders,bat,Kings XI Punjab,wickets,6.0,N,S Asnani,MR Benson,Kolkata Knight Riders,2009
83,84,2009-05-03,JH Kallis,New Wanderers Stadium,Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians,bat,Royal Challengers Bangalore,wickets,9.0,N,RE Koertzen,TH Wijewardene,Mumbai Indians,2009
84,85,2009-05-04,MS Dhoni,Buffalo Park,Chennai Super Kings,Deccan Chargers,Chennai Super Kings,bat,Chennai Super Kings,runs,78.0,N,BR Doctrove,M Erasmus,Deccan Chargers,2009
85,86,2009-05-05,GC Smith,Kingsmead,Kings XI Punjab,Rajasthan Royals,Kings XI Punjab,field,Rajasthan Royals,runs,78.0,N,SS Hazare,IL Howell,Kings XI Punjab,2009
86,87,2009-05-05,G Gambhir,Kingsmead,Delhi Daredevils,Kolkata Knight Riders,Kolkata Knight Riders,bat,Delhi Daredevils,wickets,9.0,N,GAV Baxter,IL Howell,Kolkata Knight Riders,2009
87,88,2009-05-06,RG Sharma,SuperSport Park,Deccan Chargers,Mumbai Indians,Deccan Chargers,bat,Deccan Chargers,runs,19.0,N,MR Benson,HDPK Dharmasena,Mumbai Indians,2009
88,89,2009-05-07,A Singh,SuperSport Park,Royal Challengers Bangalore,Rajasthan Royals,Rajasthan Royals,field,Rajasthan Royals,wickets,7.0,N,K Hariharan,DJ Harper,Royal Challengers Bangalore,2009
89,90,2009-05-07,ML Hayden,SuperSport Park,Chennai Super Kings,Kings XI Punjab,Chennai Super Kings,bat,Chennai Super Kings,runs,12.0,N,DJ Harper,TH Wijewardene,Kings XI Punjab,2009
90,91,2009-05-08,A Nehra,Buffalo Park,Delhi Daredevils,Mumbai Indians,Mumbai Indians,bat,Delhi Daredevils,wickets,7.0,N,M Erasmus,SK Tarapore,Mumbai Indians,2009
91,92,2009-05-09,DPMD Jayawardene,De Beers Diamond Oval,Deccan Chargers,Kings XI Punjab,Kings XI Punjab,field,Kings XI Punjab,wickets,3.0,N,GAV Baxter,AM Saheba,Deccan Chargers,2009
92,93,2009-05-09,S Badrinath,De Beers Diamond Oval,Chennai Super Kings,Rajasthan Royals,Rajasthan Royals,bat,Chennai Super Kings,wickets,7.0,N,GAV Baxter,HDPK Dharmasena,Rajasthan Royals,2009
93,94,2009-05-10,JP Duminy,St George's Park,Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians,bat,Mumbai Indians,runs,16.0,N,BR Doctrove,BG Jerling,Royal Challengers Bangalore,2009
94,95,2009-05-10,A Mishra,New Wanderers Stadium,Delhi Daredevils,Kolkata Knight Riders,Delhi Daredevils,field,Delhi Daredevils,wickets,7.0,N,SL Shastri,RB Tiffin,Kolkata Knight Riders,2009
95,96,2009-05-11,DR Smith,De Beers Diamond Oval,Deccan Chargers,Rajasthan Royals,Deccan Chargers,bat,Deccan Chargers,runs,53.0,N,GAV Baxter,HDPK Dharmasena,Rajasthan Royals,2009
96,97,2009-05-12,LRPL Taylor,SuperSport Park,Royal Challengers Bangalore,Kolkata Knight Riders,Royal Challengers Bangalore,field,Royal Challengers Bangalore,wickets,6.0,N,M Erasmus,SS Hazare,Kolkata Knight Riders,2009
97,98,2009-05-12,Harbhajan Singh,SuperSport Park,Kings XI Punjab,Mumbai Indians,Kings XI Punjab,bat,Mumbai Indians,wickets,8.0,N,SS Hazare,RE Koertzen,Kings XI Punjab,2009
98,99,2009-05-13,R Bhatia,Kingsmead,Deccan Chargers,Delhi Daredevils,Deccan Chargers,field,Delhi Daredevils,runs,12.0,N,DJ Harper,SL Shastri,Deccan Chargers,2009
99,100,2009-05-14,LRPL Taylor,Kingsmead,Royal Challengers Bangalore,Chennai Super Kings,Chennai Super Kings,bat,Royal Challengers Bangalore,wickets,2.0,N,BR Doctrove,DJ Harper,Chennai Super Kings,2009
100,101,2009-05-14,SK Warne,Kingsmead,Mumbai Indians,Rajasthan Royals,Rajasthan Royals,bat,Rajasthan Royals,runs,2.0,N,BR Doctrove,DJ Harper,Mumbai Indians,2009
101,102,2009-05-15,B Lee,OUTsurance Oval,Delhi Daredevils,Kings XI Punjab,Kings XI Punjab,field,Kings XI Punjab,wickets,6.0,N,HDPK Dharmasena,IL Howell,Delhi Daredevils,2009
102,103,2009-05-16,ML Hayden,St George's Park,Chennai Super Kings,Mumbai Indians,Mumbai Indians,bat,Chennai Super Kings,wickets,7.0,N,SK Tarapore,SJA Taufel,Mumbai Indians,2009
103,104,2009-05-16,RG Sharma,New Wanderers Stadium,Deccan Chargers,Kolkata Knight Riders,Deccan Chargers,field,Deccan Chargers,wickets,6.0,N,RE Koertzen,S Ravi,Kolkata Knight Riders,2009
104,105,2009-05-17,Yuvraj Singh,New Wanderers Stadium,Deccan Chargers,Kings XI Punjab,Deccan Chargers,field,Kings XI Punjab,runs,1.0,N,S Ravi,RB Tiffin,Deccan Chargers,2009
105,106,2009-05-17,AB de Villiers,OUTsurance Oval,Delhi Daredevils,Rajasthan Royals,Delhi Daredevils,bat,Delhi Daredevils,runs,14.0,N,SS Hazare,IL Howell,Rajasthan Royals,2009
106,107,2009-05-18,BJ Hodge,SuperSport Park,Chennai Super Kings,Kolkata Knight Riders,Chennai Super Kings,bat,Kolkata Knight Riders,wickets,7.0,N,SJA Taufel,RB Tiffin,Chennai Super Kings,2009
107,108,2009-05-19,JH Kallis,New Wanderers Stadium,Royal Challengers Bangalore,Delhi Daredevils,Delhi Daredevils,bat,Royal Challengers Bangalore,wickets,7.0,N,IL Howell,RB Tiffin,Delhi Daredevils,2009
108,109,2009-05-20,LR Shukla,Kingsmead,Kolkata Knight Riders,Rajasthan Royals,Kolkata Knight Riders,field,Kolkata Knight Riders,wickets,4.0,N,BG Jerling,SJA Taufel,Rajasthan Royals,2009
109,110,2009-05-20,M Muralitharan,Kingsmead,Chennai Super Kings,Kings XI Punjab,Chennai Super Kings,bat,Chennai Super Kings,runs,24.0,N,BG Jerling,SJA Taufel,Kings XI Punjab,2009
110,111,2009-05-21,V Sehwag,SuperSport Park,Delhi Daredevils,Mumbai Indians,Delhi Daredevils,field,Delhi Daredevils,wickets,4.0,N,IL Howell,S Ravi,Mumbai Indians,2009
111,112,2009-05-21,MK Pandey,SuperSport Park,Royal Challengers Bangalore,Deccan Chargers,Royal Challengers Bangalore,bat,Royal Challengers Bangalore,runs,12.0,N,IL Howell,S Ravi,Deccan Chargers,2009
112,113,2009-05-22,AC Gilchrist,SuperSport Park,Delhi Daredevils,Deccan Chargers,Deccan Chargers,field,Deccan Chargers,wickets,6.0,N,BR Doctrove,DJ Harper,Delhi Daredevils,2009
113,114,2009-05-23,MK Pandey,New Wanderers Stadium,Royal Challengers Bangalore,Chennai Super Kings,Royal Challengers Bangalore,field,Royal Challengers Bangalore,wickets,6.0,N,RE Koertzen,SJA Taufel,Chennai Super Kings,2009
114,115,2009-05-24,A Kumble,New Wanderers Stadium,Royal Challengers Bangalore,Deccan Chargers,Royal Challengers Bangalore,field,Deccan Chargers,runs,6.0,N,RE Koertzen,SJA Taufel,Royal Challengers Bangalore,2009
115,116,2010-03-12,AD Mathews,Dr DY Patil Sports Academy,Deccan Chargers,Kolkata Knight Riders,Deccan Chargers,field,Kolkata Knight Riders,runs,11.0,N,RE Koertzen,RB Tiffin,Deccan Chargers,2010
116,117,2010-03-13,YK Pathan,Brabourne Stadium,Mumbai Indians,Rajasthan Royals,Mumbai Indians,bat,Mumbai Indians,runs,4.0,N,RE Koertzen,RB Tiffin,Rajasthan Royals,2010
117,118,2010-03-13,G Gambhir,"Punjab Cricket Association Stadium, Mohali",Kings XI Punjab,Delhi Daredevils,Delhi Daredevils,field,Delhi Daredevils,wickets,5.0,N,BR Doctrove,S Ravi,Kings XI Punjab,2010
118,119,2010-03-14,MK Tiwary,Eden Gardens,Kolkata Knight Riders,Royal Challengers Bangalore,Kolkata Knight Riders,field,Kolkata Knight Riders,wickets,7.0,N,HDPK Dharmasena,AM Saheba,Royal Challengers Bangalore,2010
119,120,2010-03-14,WPUJC Vaas,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,Deccan Chargers,Deccan Chargers,bat,Deccan Chargers,runs,31.0,N,K Hariharan,DJ Harper,Chennai Super Kings,2010
120,121,2010-03-15,V Sehwag,"Sardar Patel Stadium, Motera",Rajasthan Royals,Delhi Daredevils,Delhi Daredevils,field,Delhi Daredevils,wickets,6.0,N,BG Jerling,RE Koertzen,Rajasthan Royals,2010
121,122,2010-03-16,JH Kallis,M Chinnaswamy Stadium,Royal Challengers Bangalore,Kings XI Punjab,Kings XI Punjab,bat,Royal Challengers Bangalore,wickets,8.0,N,S Das,DJ Harper,Kings XI Punjab,2010
122,123,2010-03-16,MS Dhoni,Eden Gardens,Kolkata Knight Riders,Chennai Super Kings,Chennai Super Kings,bat,Chennai Super Kings,runs,55.0,N,HDPK Dharmasena,AM Saheba,Kolkata Knight Riders,2010
123,124,2010-03-17,SR Tendulkar,Feroz Shah Kotla,Delhi Daredevils,Mumbai Indians,Delhi Daredevils,field,Mumbai Indians,runs,98.0,N,BR Doctrove,SK Tarapore,Delhi Daredevils,2010
