index,Match No,Date,Man of the match,Venue,Home Team,Away Team,Toss Winner,Toss Decision,Winner,Result,Result Margin,Super Over,Umpire 1,Umpire 2,Loser,season
696,694,2019-03-23,Harbhajan Singh,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,Royal Challengers Bangalore,Chennai Super Kings,field,Chennai Super Kings,wickets,7.0,N,AY Dandekar,BNJ Oxenford,Royal Challengers Bangalore,2019
697,695,2019-03-24,AD Russell,Eden Gardens,Kolkata Knight Riders,Sunrisers Hyderabad,Kolkata Knight Riders,field,Kolkata Knight Riders,wickets,6.0,N,CB Gaffaney,AK Chaudhary,Sunrisers Hyderabad,2019
698,696,2019-03-24,RR Pant,Wankhede Stadium,Mumbai Indians,Delhi Capitals,Mumbai Indians,field,Delhi Capitals,runs,37.0,N,YC Barde,S Ravi,Mumbai Indians,2019
699,697,2019-03-25,CH Gayle,Sawai Mansingh Stadium,Rajasthan Royals,Kings XI Punjab,Rajasthan Royals,field,Kings XI Punjab,runs,14.0,N,KN Ananthapadmanabhan,C Shamshuddin,Rajasthan Royals,2019
700,698,2019-03-26,SR Watson,Feroz Shah Kotla,Delhi Capitals,Chennai Super Kings,Delhi Capitals,bat,Chennai Super Kings,wickets,6.0,N,M Erasmus,Nitin Menon,Delhi Capitals,2019
701,699,2019-03-27,AD Russell,Eden Gardens,Kolkata Knight Riders,Kings XI Punjab,Kings XI Punjab,field,Kolkata Knight Riders,runs,28.0,N,VA Kulkarni,AK Chaudhary,Kings XI Punjab,2019
702,700,2019-03-28,JJ Bumrah,M.Chinnaswamy Stadium,Royal Challengers Bangalore,Mumbai Indians,Royal Challengers Bangalore,field,Mumbai Indians,runs,6.0,N,CK Nandan,S Ravi,Royal Challengers Bangalore,2019
703,701,2019-03-29,Rashid Khan,"Rajiv Gandhi International Stadium, Uppal",Sunrisers Hyderabad,Rajasthan Royals,Rajasthan Royals,bat,Sunrisers Hyderabad,wickets,5.0,N,C Shamshuddin,BNJ Oxenford,Rajasthan Royals,2019
704,702,2019-03-30,MA Agarwal,"Punjab Cricket Association IS Bindra Stadium, Mohali",Kings XI Punjab,Mumbai Indians,Kings XI Punjab,field,Kings XI Punjab,wickets,8.0,N,VA Kulkarni,CB Gaffaney,Mumbai Indians,2019
705,703,2019-03-30,PP Shaw,Feroz Shah Kotla,Delhi Capitals,Kolkata Knight Riders,Delhi Capitals,field,Delhi Capitals,tie,,Y,AY Dandekar,Nitin Menon,Kolkata Knight Riders,2019
706,704,2019-03-31,JM Bairstow,"Rajiv Gandhi International Stadium, Uppal",Sunrisers Hyderabad,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Sunrisers Hyderabad,runs,118.0,N,KN Ananthapadmanabhan,S Ravi,Royal Challengers Bangalore,2019
707,705,2019-03-31,MS Dhoni,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,Rajasthan Royals,Rajasthan Royals,field,Chennai Super Kings,runs,8.0,N,YC Barde,CK Nandan,Rajasthan Royals,2019
708,706,2019-04-01,SM Curran,"Punjab Cricket Association IS Bindra Stadium, Mohali",Kings XI Punjab,Delhi Capitals,Delhi Capitals,field,Kings XI Punjab,runs,14.0,N,CB Gaffaney,AK Chaudhary,Delhi Capitals,2019
709,707,2019-04-02,S Gopal,Sawai Mansingh Stadium,Rajasthan Royals,Royal Challengers Bangalore,Rajasthan Royals,field,Rajasthan Royals,wickets,7.0,N,AY Dandekar,M Erasmus,Royal Challengers Bangalore,2019
710,708,2019-04-03,HH Pandya,Wankhede Stadium,Mumbai Indians,Chennai Super Kings,Chennai Super Kings,field,Mumbai Indians,runs,37.0,N,RJ Tucker,BNJ Oxenford,Chennai Super Kings,2019
711,709,2019-04-04,JM Bairstow,Feroz Shah Kotla,Delhi Capitals,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Sunrisers Hyderabad,wickets,5.0,N,KN Ananthapadmanabhan,C Shamshuddin,Delhi Capitals,2019
712,710,2019-04-05,AD Russell,M.Chinnaswamy Stadium,Royal Challengers Bangalore,Kolkata Knight Riders,Kolkata Knight Riders,field,Kolkata Knight Riders,wickets,5.0,N,CB Gaffaney,AK Chaudhary,Royal Challengers Bangalore,2019
713,711,2019-04-06,Harbhajan Singh,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,Kings XI Punjab,Chennai Super Kings,bat,Chennai Super Kings,runs,22.0,N,KN Ananthapadmanabhan,RJ Tucker,Kings XI Punjab,2019
714,712,2019-04-06,AS Joseph,"Rajiv Gandhi International Stadium, Uppal",Sunrisers Hyderabad,Mumbai Indians,Sunrisers Hyderabad,field,Mumbai Indians,runs,40.0,N,AY Dandekar,Nitin Menon,Sunrisers Hyderabad,2019
715,713,2019-04-07,K Rabada,M.Chinnaswamy Stadium,Royal Challengers Bangalore,Delhi Capitals,Delhi Capitals,field,Delhi Capitals,wickets,4.0,N,YC Barde,S Ravi,Royal Challengers Bangalore,2019
716,714,2019-04-07,HF Gurney,Sawai Mansingh Stadium,Rajasthan Royals,Kolkata Knight Riders,Kolkata Knight Riders,field,Kolkata Knight Riders,wickets,8.0,N,CB Gaffaney,AK Chaudhary,Rajasthan Royals,2019
717,715,2019-04-08,KL Rahul,"Punjab Cricket Association IS Bindra Stadium, Mohali",Kings XI Punjab,Sunrisers Hyderabad,Kings XI Punjab,field,Kings XI Punjab,wickets,6.0,N,AY Dandekar,M Erasmus,Sunrisers Hyderabad,2019
718,716,2019-04-09,DL Chahar,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,Kolkata Knight Riders,Chennai Super Kings,field,Chennai Super Kings,wickets,7.0,N,RJ Tucker,C Shamshuddin,Kolkata Knight Riders,2019
719,717,2019-04-10,KA Pollard,Wankhede Stadium,Mumbai Indians,Kings XI Punjab,Mumbai Indians,field,Mumbai Indians,wickets,3.0,N,YC Barde,S Ravi,Kings XI Punjab,2019
